[EDT] ¿La transformada de Laplace de la delta de Dirac delta(t) es 1 para todo s?	<b>Verdadero (V)</b><br><br><i>Verdadero. integral(delta(t) * e^(-st) dt) de 0- a inf = 1.</i>
[EDT] ¿La transformada de Laplace del escalón unitario u(t) es 1/s con región de convergencia Re(s) > 0?	<b>Verdadero (V)</b><br><br><i>Verdadero. integral(e^(-st) dt) = [-e^(-st)/s] = 1/s.</i>
[EDT] La convolución en el dominio del tiempo equivale a la adición directa en el dominio transformado de Laplace.	<b>Falso (F)</b><br><br><i>Falso. Equivale a la multiplicación algebraica F(s) * G(s).</i>
[EDT] ¿El Teorema del Valor Final requiere que todos los polos de s*F(s) se encuentren en el semiplano complejo izquierdo estricto?	<b>Verdadero (V)</b><br><br><i>Verdadero. De lo contrario f(t) no converge a un límite finito cuando t tiende a infinito.</i>
[EDT] Una ecuación diferencial lineal homogénea de segundo orden con coeficientes constantes con raíces complejas conjugadas tiene una respuesta aperiódica sin oscilación.	<b>Falso (F)</b><br><br><i>Falso. Produce términos sinusoidales amortiguados con oscilación propia e^(sigma*t)*cos(wd*t).</i>
[EDT] ¿La transformada de Laplace de e^(a*t) es 1 / (s - a) para Re(s) > a?	<b>Verdadero (V)</b><br><br><i>Verdadero. Por definición de integral transformadora.</i>
[EDT] ¿La serie de Fourier de una función par periódica solo contiene términos cosenoidales (bn = 0)?	<b>Verdadero (V)</b><br><br><i>Verdadero. La simetría par anula todas las integrales de funciones senoidales impares.</i>
[EDT] ¿El teorema de traslación temporal establece que L{f(t - T)*u(t - T)} = e^(-s*T) * F(s)?	<b>Verdadero (V)</b><br><br><i>Verdadero. El retraso temporal se mapea en una exponencial compleja en s.</i>
[EDT] El factor integrante mu(x) = exp(integral(P(x) dx)) permite resolver cualquier EDO lineal de primer orden y' + P(x)y = Q(x).	<b>Verdadero (V)</b><br><br><i>Verdadero. Convierte el miembro izquierdo en la derivada del producto d/dx [mu(x)*y].</i>
[EDT] La transformada inversa de Laplace siempre genera funciones continuas sin singularidades.	<b>Falso (F)</b><br><br><i>Falso. Puede generar impulsos de Dirac, discontinuidades escalón y derivadas distribucionales.</i>
[EDT] ¿El Teorema del Valor Inicial establece que f(0+) = lim_{s -> inf} s * F(s)?	<b>Verdadero (V)</b><br><br><i>Verdadero. Propiedad asintótica de alta frecuencia.</i>
[EDT] ¿La solución general de una EDO lineal no homogénea es la suma de la solución de la homogénea más una solución particular?	<b>Verdadero (V)</b><br><br><i>Verdadero. Principio de superposición lineal.</i>
